ENGINEER,PARENT,PARTNO,DESCRIPTION,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED
unknown,RC-ASY-00080,MCM 91292A108,"SHCS, M4X0.7, 8MM, 18-8 SS",8,MCMASTER,91292A108,,,1,$0.07,$0.54,100,1,24,,
unknown,RC-ASY-00080,MCM 91292A116,"SHCS, M4x0.7, 10mm, 18-8 SS",4,MCMASTER,91292A116,,,1,0.0723,$0.29,100,1,12,,
unknown,RC-ASY-00080,MCM 91292A118,"SHCS, M4x0.7, 16mm, 18-8 SS",12,MCMASTER,91292A118,,,1,0.0813,$0.98,100,1,36,,
unknown,RC-ASY-00080,MCM 91292A138,"SHCS, M6x1.0, 25mm, 18-8 SS",4,MCMASTER,91292A138,,,1,0.1986,$0.79,50,1,12,,
unknown,RC-ASY-00080,MCM 91292A192,"SHCS, M5x0.8, 30mm, 18-8 SS",4,MCMASTER,91292A192,,,1,$0.18,$0.72,50,1,12,,
unknown,RC-ASY-00080,MCM 92095A177,"BHCS, M3x0.5, 5mm, 18-8 SS",8,MCMASTER,92095A177,,,1,0.0612,$0.49,100,1,24,,
unknown,RC-ASY-00080,MCM 92290A150,"SHCS, M4X0.7, 14MM, 316 SS",4,MCMASTER,92290A150,,,1,$0.28,$1.14,25,1,12,,
unknown,RC-ASY-00082,RC-ASY-00068,"BULK REAGENT ASSEMBLY, RC2",1,,,,,1,$900.00,"$3,200.00",,1,3,,
unknown,RC-ASY-00082,CP UX-12018-24,"BOTTLE CAP, 304 SS THREAD INSERTS, 2X 1_4-28, 38-430 BOTTLE THREADS",1,COLE PARMER,UX-12018-24,,,1,$42.00,$42.00,,1,3,,
unknown,RC-ASY-00082,MCM 1098A91,"HANDLE, SNAP-IN RECESSED, ABS, .04-.055IN THK PNL",2,MCMASTER,1098A91,,,1,$3.20,$6.40,2,1,6,,
unknown,RC-ASY-00082,MCM 91292A116,"SHCS, M4x0.7, 10mm, 18-8 SS",16,MCMASTER,91292A116,,,1,$0.07,$1.16,100,1,48,,
unknown,RC-ASY-00082,MCM 91292A123,"SHCS, M3X0.5, 20MM, 18-8SS",4,MCMASTER,91292A123,,,1,$0.07,$0.27,100,1,12,,
unknown,RC-ASY-00082,MCM 92095A177,"BHCS, M3x0.5, 5mm, 18-8 SS",4,MCMASTER,92095A177,,,1,$0.06,$0.24,100,1,12,,
unknown,RC-ASY-00082,MCM 92095A179,"BHCS, M3x0.5, 6mm, 18-8 SS",6,MCMASTER,92095A179,,,1,$0.05,$0.30,100,1,18,,
unknown,RC-ASY-00082,MCM 92095A189,"BHCS, M4X0.7, 8MM, 18-8 SS",4,MCMASTER,92095A189,,,1,$0.09,$0.36,100,1,12,,
unknown,RC-ASY-00082,MCM 92125A190,"FHCS, M4x0.7, 10mm, 18-8 SS",6,MCMASTER,92125A190,,,1,$0.07,$0.43,100,1,18,,
unknown,RC-ASY-00082,MCM 92125A211,"FHCS, M5x0.8, 14mm, 18-8 SS",4,MCMASTER,92125A211,,,1,$0.13,$0.51,50,1,12,,
unknown,RC-ASY-00082,MCM 92290A124,"SHCS, M3X0.5, 25MM, 316SS",4,MCMASTER,92290A124,,,1,$0.30,$1.21,50,1,12,,
unknown,RC-ASY-00082,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",10,MCMASTER,94500A222,,,1,$0.06,$0.63,100,1,30,,
unknown,RC-ASY-00082,MCM 94500A225,"BHCS, M4X0.7, 6MM, 316SS",6,MCMASTER,94500A225,,,1,$0.08,$0.48,100,1,18,,
unknown,RC-ASY-00082,MCM 94500A261,"BHCS, M3X0.5, 3MM, 316SS",8,MCMASTER,94500A261,,,1,$0.13,$1.07,50,1,24,,
unknown,RC-ASY-00082,TF 2099-0032PK,"NALGENE NARROW MOUTH HDPE BOTTLE, 1L",1,THERMOFISHER,2099-0032PK,,,1,$7.20,$7.20,0,1,3,,
unknown,RC-ASY-00068,RC-FAB-00380,BULK REAGENT HINGE BLOCK,4,PROTOLABS,,PROTOLABS,,1,200,800,,1,12,,
unknown,RC-ASY-00068,RC-FAB-00492,BULK REAGENT QUARTER TURN FOR 500ML NALGENE BOTTLE,4,SMC,,SMC,,1,,0,,1,12,,
unknown,RC-ASY-00068,RC-FAB-00498,BULK REAGENT PIVOT HOUSING FOR 500ML NALGENE BOTTLE,4,PROTOLABS,,PROTOLABS,,1,271.33,1085.32,,1,12,,
unknown,RC-ASY-00068,RC-FAB-00499,BULK REAGENT PIVOT THREAD FOR 500ML NALGENE BOTTLE,4,PROTOLABS,,PROTOLABS,,1,644.55,2578.2,,1,12,,
unknown,RC-ASY-00068,RC-FAB-00598,3D PRINTED BULK REAGENT PIVOT FLAG,4,,,RC,,1,,0,,1,12,,
unknown,RC-ASY-00068,McMaster 2418T147,ULTRA-COMPRESSIBLE O-RING,4,McMaster-Carr Supply Company,2418T147,,,1,10.23 pack of 40,10.23,,1,12,,
unknown,RC-ASY-00068,McMaster 52065K493,"RIGHT ANGLE PUSH TO CONNECT FITTING, 4MM, M6",4,McMaster-Carr Supply Company,52065K493,,,1,2.83,11.32,,1,12,,
unknown,RC-ASY-00068,McMaster 6659K660,OIL-EMBEDDED FLANGED SLEEVE BEARING,8,McMaster-Carr Supply Company,6659K660,,,1,2.18,17.44,,1,24,,
unknown,RC-ASY-00068,McMaster 90269A131,316 STAINLESS STEEL SHOULDER SCREW,8,McMaster-Carr Supply Company,90269A131,,,1,5.88,47.04,,1,24,,
unknown,RC-ASY-00068,McMaster 92290A111,"SHCS, M3X0.5, 6MM, 316 SS",16,McMaster-Carr Supply Company,92290A111,,,1,10.67 pack of 50,10.67,,1,48,,
unknown,RC-ASY-00068,McMaster 9271K604,LH MUSIC-WIRE STEEL TORSION SPRING,4,McMaster-Carr Supply Company,9271K604,,,1,4.63 pack of 6,4.63,,1,12,,
unknown,RC-ASY-00068,McMaster 9271K669,RH MUSIC-WIRE STEEL TORSION SPRING,4,McMaster-Carr Supply Company,9271K669,,,1,4.63 pack of 7,4.63,,1,12,,
unknown,RC-ASY-00068,McMaster 93395A137,TYPE 316 SS FLAT-HEAD SOCKET CAP SCREW,4,McMaster-Carr Supply Company,93395A137,,,1,10.56 pack of 25,,,1,12,,
unknown,RC-ASY-00068,IDEX P-619,"FITTING ADAPTER, 1/4-28 MALE TO MALE LUER SLIP, PP",4,IDEX-HS,P-619,IDEX,,1,3.04,12.16,,1,12,,
unknown,RC-ASY-00068,IDEX XP-235-CP,"FITTING, 1/4-28 FLAT BOTTOM, 1/16"" TUBE, PEEK",4 - 10 pack,IDEX-HS,XP-235-CP,IDEX,,1,41.58,41.58,,1,,,
unknown,RC-ASY-00068,TF 2099-0016,TF NALGENE HDPE BOTTLE 500ML,4 - 48 pack,ThermoFisher Scientific,2099-0016,ThermoFisher Scientific,,1,180.74,180.74,,1,,,
unknown,RC-ASY-00068,Panasonic PM-R25,Panasonic PM-R25 Photointerruptor,4,DigiKey,1110-3888-ND,Panasonic,,1,11,44,,1,12,,
unknown,RC-ASY-00068,IDEX P-831,"Male LuerTight Fitting System for 1/8"" OD",4,IDEX-HS,P-831,IDEX,,1,3.83,15.32,,1,12,,
E. Evje,RC-ASY-00075,RC-FAB-00361,"BASE GASKET, PRESSURE VESSEL, V4  FLUIDICS UNIT",1,,,Pololu,,1,,,,1,3,,
E. Evje,RC-ASY-00075,MCM 1295N271,"VITON O-RING, 2MMX64MM",1,MCMASTER,1295N271,,,1,,,,1,3,,
E. Evje,RC-ASY-00075,IDEX P-321,"PLUG PEEK NATURAL, 1/4-28 FLAT  BOTTOM FITTING",10,IDEX,P-321,,,1,,,,1,30,,
E. Evje,RC-ASY-00075,MCM 52065K492,"PUSH-TO-CONNECT ELBOW FITTING,  M5X0.8, 4MM TUBING",2,MCMASTER,52065K492,,,1,,,,1,6,,
E. Evje,RC-ASY-00075,MCM 5012K320,"PANEL MOUNT QUICK DISCONNECT  FITTING FOR 0.25 IN TUBING, FEMALE",2,MCMASTER,5012K320,,,1,,,Ordered,1,6,,
E. Evje,RC-ASY-00075,MCM 90278A507,"SHSS, M4X0.7, 5MMODX45MM, 18-8  SS",4,MCMASTER,90278A507,,,1,,,,1,12,,
E. Evje,RC-ASY-00075,MCM 92290A597,"SHCS, M1.6X0.35, 4MM, 316SS",40,MCMASTER,92290A597,,,1,,,,1,120,,
E. Evje,RC-ASY-00075,MCM 98952A101,"HXST, M2.5X0.45, 5MM, M-F, AL",13,MCMASTER,98952A101,,,1,,,,1,39,,
E. Evje,RC-ASY-00075,MCM 91355A011,"FBHS, 2-56, 1_4IN, BLACK OXIDE",20,MCMASTER,91355A011,,,1,,,,1,60,,
E. Evje,RC-ASY-00075,MCM 92290A764,"SHCS, M3X0.5, 45MM, 316SS",4,MCMASTER,92290A764,,,1,,,,1,12,,
E. Evje,RC-ASY-00075,MCM 93600A303,"DOWEL PIN, 316 SS, 3MM DIA, 8MM  LNG",12,MCMASTER,93600A303,,,1,,,,1,36,,
E. Evje,RC-ASY-00075,MCM 92290A113,"SHCS, M3X0.5, 8MM, 316SS",2,MCMASTER,92290A113,,,1,,,,1,6,,
E. Evje,RC-ASY-00075,MCM 92290A012,"SHCS, M2X0.4, 5MM, 316SS",8,MCMASTER,92290A012,,,1,,,,1,24,,
E. Evje,RC-ASY-00075,MCM 92290A110,"SHCS, 316 SS, M3X.5, 5MM",17,MCMASTER,92290A110,,,1,,,,1,51,,
E. Evje,RC-ASY-00075,MCM 92290A853,"SHCS, M2.5X0.45, 3MM, 316SS",13,MCMASTER,92290A853,,,1,,,,1,39,,
E. Evje,RC-ASY-00054,MCM 92290A144,"SHCS, M4X0.7, 10MM, 316SS",4,MCMASTER,92290A144,,,1,,,,1,12,,
E. Evje,RC-ASY-00054,MCM 92290A763,"SHCS, M3X0.5, 35MM, 316SS",6,MCMASTER,92290A763,,,1,,,,1,18,,
E. Evje,RC-ASY-00054,MCM 92290A772,"SHCS, M4X0.7, 60MM, 316SS",6,MCMASTER,92290A772,,,1,,,,1,18,,
E. Evje,RC-ASY-00057,KJ D12-N52,"N52 NEODYMIUM MAGNET, 1/16X1/8""",1,K&J MAGNETICS,D12-N52,,,1,,,,1,3,,
E. Evje,RC-ASY-00057,MCM 9433K56,"EXTENSION SPRING, 1"" LGTH, 0.25""  OD, 0.037"" WIRE DIAMETER",1,MCMASTER,9433K56,,,1,,,,1,3,,
E. Evje,RC-ASY-00057,MCM 98055A107,"SHIM WASHER, 0.3MM THICK, 6MM ID",1,MCMASTER,98055A107,,,1,,,,1,3,,
E. Evje,RC-ASY-00057,MCM 90269A111,"SHSS, M2X0.4, 3X4MM, 316SS",2,MCMASTER,90269A111,,,1,,,,1,6,,
E. Evje,RC-ASY-00057,MCM 90263A249,"SHSS, M5X0.8, 4X6MM, 316SS",1,MCMASTER,90263A249,,,1,,,,1,3,,
E. Evje,RC-ASY-00057,MCM 91239A109,"BHCS, M3X0.5, 4MM, BLACK OXIDE",1,MCMASTER,91239A109,,,1,,,,1,3,,
E. Evje,RC-ASY-00057,RC-FAB-00474,"OUTER LID, INSULATION, PRESSURE  VESSEL, V4 FLUIDICS UNIT",1,,,ReadCoor,,1,,,,1,3,,
E. Evje,RC-ASY-00057,MCM 94500A228,"BHCS, M4X0.7, 12MM, 316SS",2,MCMASTER,94500A228,,,1,,,,1,6,,
E. Evje,RC-ASY-00057,MCM 92290A144,"SHCS, M4X0.7, 10MM, 316SS",7,MCMASTER,92290A144,,,1,,,,1,21,,
E. Evje,RC-ASY-00057,RC-FAB-00350,"LID GASKET, ACTUATED LID,  PRESSURE VESSEL, V4 FLUIDICS UNIT",1,,,,,1,,,quoted,1,3,,
E. Evje,RC-ASY-00057,MCM 91801A107,"FHCS, M2X0.4, 6MM, 316SS",14,MCMASTER,91801A107,,,1,,,,1,42,,
E. Evje,RC-ASY-00057,RC-FAB-00592,BALL JOINT RETAIN PLATE INSULATION,4,,,,,1,,,quoted,1,12,,
E. Evje,RC-ASY-00057,MCM 95783A056,"HXST, M2.5X0.45, 10MM, 4.5MM HEX, M-F, NYLON",8,MCMASTER,95783A056,,,1,,,,1,24,,
E. Evje,RC-ASY-00057,MCM 95783A050,"HXST, M2.5X0.45, 5MM, M-F, NYLON",2,MCMASTER,,,,1,,,,1,6,,
E. Evje,RC-ASY-00057,MCM 92290A853,"SHCS, M2.5X0.45, 3MM, 316SS",11,MCMASTER,92290A853,,,1,,,,1,33,,
E. Evje,RC-ASY-00057,MCM 92290A126,"SHCS, M3X0.5, 30MM, 316SS",8,MCMASTER,92290A126,,,1,,,Ordered,1,24,,
E. Evje,RC-ASY-00057,MCM 93395A207,"FHCS, M3X0.5, 12MM, 316SS",8,MCMASTER,93395A207,,,1,,,Ordered,1,24,,
E. Evje,RC-ASY-00060,RC-FAB-00392,"BUMPER, SPRUNG HINGE, PRESSURE  VESSEL, V4 FLUIDICS UNIT",2,,,,,1,,,,2,12,,
E. Evje,RC-ASY-00060,MCM 9271K444,"TORSION SPRING, 270 DEGREES,  LEFT-HAND WOUND, 0.805"" OD",1,MCMASTER,9271K444,,,1,,,,2,6,,
E. Evje,RC-ASY-00060,MCM 98317A233,"EXTERNAL RETAINTING TING, 11-15  MM OD",2,MCMASTER,98317A233,,,1,,,,2,12,,
E. Evje,RC-ASY-00060,MIS WS-PTFE-M12,PTFE ROUND WASHER 25X12X2MM,1,MISUMI,WS-PTFE-M12,,,1,,,,2,6,,
E. Evje,RC-ASY-00060,MCM 6679K36,"DRY RUNNING ROTARY SLEEVE  BEARING, 8MM LNGTH X 12MM ID",2,MCMASTER,6679K36,,,1,,,,2,12,,
E. Evje,RC-ASY-00060,MCM 92871A304,"US, M3, 4,5MM OD, 12MM 18-8SS",2,MCMASTER,92871A304,,,1,,,,2,12,,
E. Evje,RC-ASY-00060,MCM 92290A761,"SHCS, M3X0.5, 18MM, 316SS",2,MCMASTER,92290A761,,,1,,,,2,12,,
E. Evje,RC-ASY-00060,MCM 92605A528,"FPSS, M4X0.7, 10MM, 316SS",1,MCMASTER,92605A528,,,1,,,,2,6,,
E. Evje,RC-ASY-00060,MCM 92095A451,"BHCS, M2X0.4, 4MM, 18-8SS",2,MCMASTER,92095A451,,,1,,,,2,12,,
E. Evje,RC-ASY-00060,MCM 1775N120,"SPLIT WAVE DISC SPRING, 0.480"" ID,  0.625"" OD",2,MCMASTER,1775N120,,,1,,,,2,12,,
E. Evje,RC-ASY-00123,RC-FAB-00472,"BACK SIDE INSULATION, PRESSURE  VESSEL, V4 FLUIDICS UNIT",1,,,ReadCoor,,1,,,,1,3,,
E. Evje,RC-ASY-00123,MCM 93600A304,"DP, 3MM, 10MM, 316SS",8,MCMASTER,93600A304,,,1,,,,1,24,,
E. Evje,RC-ASY-00123,RC-FAB-00471,"RIGHT SIDE INSULATION, PRESSURE  VESSEL, V4 FLUIDICS UNIT",2,,,ReadCoor,,1,,,,1,6,,
E. Evje,RC-ASY-00123,MCM 96887A329,"SN, M4X0.7, STEEL ZINC PLATED",8,MCMASTER,96887A329,,,1,,,,1,24,,
E. Evje,RC-ASY-00123,MCM 92290A113,"SHCS, M3X0.5, 8MM, 316SS",2,MCMASTER CARR,92290A113,,,1,,,,1,6,,
E. Evje,RC-ASY-00123,RC-FAB-00473,"FRONT SIDE INSULATION, PRESSURE  VESSEL, V4 FLUIDICS UNIT",1,,,ReadCoor,,1,,,,1,3,,
E. Evje,RC-ASY-00123,DGKY HE584-ND,SCREW MOUNT HALL EFFECT  SENSOR,1,DIGIKEY,HE584-ND,,,1,,,,1,3,,
E. Evje,RC-ASY-00123,MIGA T220,Miga T220 SMA Actuator,1,MIGA MOTORS,T220,,,1,,,,1,3,,
E. Evje,RC-ASY-00123,ELATEC TWN4  MULTITECH 3,"TWN4 MULTITECH 3, OEM RFID  READER/WRITER FOR LF, HF, NFC",1,ELATEC,TWN4 MULTITECH 3,,,1,,,,1,3,,
E. Evje,RC-ASY-00123,MCM 92095A459,"BHCS, M2.5X0.45, 8MM, 18-8SS",3,MCMASTER,92095A459,,,1,,,,1,9,,
E. Evje,RC-ASY-00123,MCM 92095A276,"BHCS, M2X0.4, 3MM, 18-8SS",4,MCMASTER,92095A276,,,1,,,,1,12,,
E. Evje,RC-ASY-00123,MCM 98952A101,"HXST, M2.5X0.45, 5MM, M-F, AL",4,MCMASTER,98952A101,,,1,,,,1,12,,
E. Evje,RC-ASY-00123,MCM 92290A853,"SHCS, M2.5X0.45, 3MM, 316SS",4,MCMASTER,92290A853,,,1,,,,1,12,,
E. Evje,RC-ASY-00123,MCM 94500A261,"BHCS, M3X0.5, 3MM, 316SS",2,MCMASTER,94500A261,,,1,,,,1,6,,
E. Evje,RC-ASY-00123,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",4,MCMASTER,94500A222,,,1,,,,1,12,,
E. Evje,RC-ASY-00123,MCM 92290A847,"SHCS, M1.6X0.35, 2MM, 316SS",1,MCMASTER,92290A847,,,1,,,,1,3,,
E. Evje,RC-ASY-00123,MCM 92290A144,"SHCS, M4X0.7, 10MM, 316SS",9,MCMASTER,92290A144,,,1,,,,1,27,,
E. Evje,RC-ASY-00123,MCM 92290A140,"SHCS, M4X0.7, 8MM, 316SS",14,MCMASTER,92290A140,,,1,,,,1,42,,
E. Evje,RC-ASY-00123,MCM 52065K449,PUSH-TO-CONNECT M5X0.8 4MM  TUBING,2,MCMASTER,52065K449,,,1,,,,1,6,,
E. Evje,RC-ASY-00073,DGKY 235-1400-ND,NTC THERMISTOR 10K OHM 3969K  PROBE TYPE,1,DIGIKEY,235-1400-ND,,,1,,,,1,3,,
E. Evje,RC-ASY-00073,MCM 9262K422,"BUNA-N O-RING, 1.5MM CS, 4MM ID",2,MCMASTER,9262K422,,,1,,,,1,6,,
E. Evje,RC-ASY-00073,MIS MSWS8-6,"M8X1.25 X 8MM SCREW PLUG,  BLACK OXIDE STEEL, MISUMI",2,MISUMI,MSWS8-6,,,1,,,,1,6,,
E. Evje,RC-ASY-00073,MCM 52065K449,"PUSH-TO-CONNECT FITTING, M5X0.8,  4MM TUBING",2,MCMASTER,52065K449,,,1,,,,1,6,,
E. Evje,RC-ASY-00073,MCM 92290A113,"SHCS, M3X0.5, 8MM, 316SS",10,MCMASTER,92290A113,,,1,,,,1,30,,
E. Evje,RC-ASY-00073,MCM 92290A847,"SHCS, M1.6X0.35, 2MM, 316SS",2,MCMASTER,92290A847,,,1,,,,1,6,,
E. Evje,RC-ASY-00073,MCM 90269A117,"SHSS, M3X0.5, 5MM, 316SS",2,MCMASTER,90269A117,,,1,,,,1,6,,
E. Evje,RC-ASY-00073,MCM 90263A132,"SHSS, M3X0.5, 4X30MM, 316SS",4,MCMASTER,90263A132,,,1,,,,1,12,,
E. Evje,RC-ASY-00073,CS B8-31,"COMPRESSION SPRING, 1.16X0.296  IN",4,CENTURY SPRING,B8-31,,,1,,,,1,12,,
E. Evje,RC-ASY-00091,MCM 4277T517,"MINIATURE RELIEF VALVE, 1/8 NPT,  10 PSI",1,MCMASTER,4277T517,,,1,,,,1,3,,
E. Evje,RC-ASY-00091,MCM 93627A610,"PHPMS WITH O-RING, M5X0.8, 6MM,  18-8SS",5,MCMASTER,93627A610,,,1,,,,1,15,,
E. Evje,RC-ASY-00091,MCM 5225K563,"PUSH-TO-CONNECT ELBOW FITTING,  M5X0.8, 4MM TUBING",4,MCMASTER,5225K563,,,1,,,,1,12,,
