ENGINEER,PARENT,PARTNO,DESCRIPTION,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED
unknown,RC-ASY-00103,IGUS JFM-0405-03,"BUSHING, 4MM SHAFT DIA ",2,IGUS,JFM-0405-03,,,1, $ 1.12 , $ 2.24 ,,1,6,,
unknown,RC-ASY-00103,IGUS JFM-101215-035,"BUSHING, 10MM SHAFT, 12MM OD, 3.5MM HT ",4,IGUS,JFM-101215-035,,,1, $ 1.41 , $ 5.64 ,,1,12,,
unknown,RC-ASY-00103,LEE LC014B06S316,"COMP. SPRING, ROD 3.61MM, HOLE 4.78MM, 316 SS",2,LEE SPRING,LC014B06S316,,,1, $ 7.21 , $ 14.42 ,,1,6,,
unknown,RC-ASY-00103,LEE LC026EE13S316,"COMP. SPRING, ROD 7.85MM, HOLE 9.93MM, 316 SS",2,LEE SPRING,LC026EE13S316,,,1, $ 7.21 , $ 14.42 ,,1,6,,
unknown,RC-ASY-00103,LEE LTL063L02S,"TORSION SPRING, LEFT, ROD 9.9MM, HOLE 15MM, SS",1,LEE SPRING,LTL063L02S,,,1, $ 10.26 , $ 10.26 ,,1,3,,
unknown,RC-ASY-00103,LEE LTR063L02S,"TORSION SPRING, RIGHT, ROD 9.9MM, HOLE 15MM, SS",1,LEE SPRING,LTR063L02S,,,1, $ 10.26 , $ 10.26 ,,1,3,,
unknown,RC-ASY-00103,LEE LWM451101651S,"WAVE SPRING, ROD 35MM, HOLE 45MM, 17-7 PH",1,LEE SPRING,LWM451101651S,,,1, $ 11.23 , $ 11.23 ,,1,3,,
unknown,RC-ASY-00103,MADISON M3326,"MINI FLOAT SENSOR, 3/8"" BULKHEAD, NC",1,MCMASTER,50195K74,MADISON,M3326,1, $ 25.32 , $ 25.32 ,,1,3,,
unknown,RC-ASY-00103,MCM 91292A113,"SHCS, M3x0.5, 10mm, 18-8 SS",8,MCMASTER,91292A113,,,1, $ 0.05 , $ 0.38 ,,1,24,,
unknown,RC-ASY-00103,MCM 92095A177,"BHCS, M3x0.5, 5mm, 18-8 SS",6,MCMASTER, 92095A177,,,1, $ 0.06 , $ 0.35 ,,1,18,,
unknown,RC-ASY-00103,MCM 92095A182,"BHCS, M3x0.5, 10mm, 18-8 SS",12,MCMASTER,92095A182,,,1, $ 0.08 , $ 1.00 ,,1,36,,
unknown,RC-ASY-00103,MCM 92125A125,"FHCS, M3x0.5, 5mm, 18-8 SS",4,MCMASTER,92125A125,,,1, $ 0.04 , $ 0.15 ,,1,12,,
unknown,RC-ASY-00103,MCM 92125A128,"FHSCS, 18-8 SS, M3X.5, 8MM",2,MCMASTER,92125A128,,,1, $ 0.04 , $ 0.07 ,,1,6,,
unknown,RC-ASY-00103,MCM 94500A264,"BHCS, M3X0.5, 12MM, 316SS",4,MCMASTER,94500A264,,,1, $ 0.04 , $ 0.15 ,,1,12,,
unknown,RC-ASY-00103,MCM 95610A560,"FWSH, M5, 1MM THK, NYLON",2,MCMASTER,95610A560,,,1, $ 0.05 , $ 0.11 ,,1,6,,
unknown,RC-ASY-00103,MCM 97654A378,"BHCS-FL, M6X1.0, 8MM, 18-8 SS",2,MCMASTER,97654A378,,,1, $ 0.58 , $ 1.16 ,,1,6,,
unknown,RC-ASY-00103,MISUMI BCHL5,"BALL ROLLER, 4MM BALL DIA, 5MM THREAD, 304 SS",4,MISUMI,BCHL5,,,1, $ 8.42 , $ 33.68 ,,1,12,,
unknown,RC-ASY-00103,MISUMI SJPNGA3-P8-B1.9-R4,"LOCATING PIN, ROUND, 8MM HEAD, 3MM THREAD, 304 SS",2,MISUMI,SJPNGA3-P8-B1.9-R4,,,1, $ 17.76 , $ 35.52 ,,1,6,,
unknown,RC-ASY-00103,MISUMI SSFJW10-125-M6-N6,"SHAFT, 10MM DIA, 125MM LONG, M6 HOLES, 440C SS",1,MISUMI,SSFJW10-125-M6-N6,,,1, $ 16.88 , $ 16.88 ,,1,3,,
unknown,RC-ASY-00103,OMRON D2HW-BL203ML,"LIMIT SWITCH, SNAP, SPST-NO, 100MA, 125V	",2,DIGIKEY,	Z12226-ND,OMRON,D2HW-BL203ML,1, $ 6.27 , $ 12.54 ,,1,6,,
unknown,RC-ASY-00103,WHATMAN 6704-7500,"IN-LINE CARBON FILTER, 96 x 66 MM",1,COLE PARMER,VV-29708-10,WHATMAN,6704-7500,1, $ 183.60 , $ 183.60 ,,1,3,,
unknown,RC-ASY-00104,RC-ASY-00109,"ASSY, SIPPER TUBE CALIBRATION, RC2-B",1,,,READCOOR,RC-ASY-00109,1,$231.43,$231.43,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00529,"BASEPLATE, SAMPLE CARRIER, RC2-B",1,,,PROTOLABS,RC-FAB-00529,1,$349.49,$349.49,1,1,3,,
unknown,RC-ASY-00104,RC-FAB-00539,"SCC MOUNT PLATE, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00539,1,,$0.00,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00540,"TOP BRACKET, SCC, RC2-B",1,,,PROTOTEK,RC-FAB-00540,1,$340.74,$340.74,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00607,"BASE, USB HOLDER, LOAD CELL, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00607,1,,$0.00,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00608,"TOP, USB HOLDER, LOAD CELL, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00608,1,,$0.00,,1,3,,
unknown,RC-ASY-00104,LCOM UADAA90-2,"USB ADAPTER, TYPE A M-F, RIGHT ANGLE",1,LCOM,UADAA90-2,,,1,$7.55,$7.55,,1,3,,
unknown,RC-ASY-00104,MCM 91292A114,"SHCS, M3x0.5, 12mm, 18-8 SS",6,MCMASTER,91292A114,,,1,$0.05,$0.30,100,1,18,,
unknown,RC-ASY-00104,MCM 92000A024,"BHCS, M2x0.4, 18mm, 18-8 SS, Phillips",2,MCMASTER,92000A024,,,1,$0.08,$0.17,100,1,6,,
unknown,RC-ASY-00104,MCM 92095A177,"BHCS, M3x0.5, 5mm, 18-8 SS",2,MCMASTER,92095A177,,,1,$0.06,$0.12,100,1,6,,
unknown,RC-ASY-00104,MCM 92125A128,"FHCS, 18-8 SS, M3X.5, 8MM",2,MCMASTER,92125A128,,,1,$0.04,$0.07,100,1,6,,
unknown,RC-ASY-00104,MCM 92125A130,"FHCS, M3x0.5, 10mm, 18-8 SS",2,MCMASTER,92125A130,,,1,$0.06,$0.12,100,1,6,,
unknown,RC-ASY-00104,MCM 92290A763,"SHCS, M3X0.5, 35MM, 316SS",4,MCMASTER,92290A763,,,1,$0.32,$1.27,25,1,12,,
unknown,RC-ASY-00104,MCM 94500A225,"BHCS, M4X0.7, 316SS",4,MCMASTER,94500A225,,,1,$0.08,$0.32,100,1,12,,
unknown,RC-ASY-00104,MCM 98952A101,"HXST, M2.5X0.45, 5MM, M-F, AL",5,MCMASTER,98952A101,,,1,$1.57,$7.85,5,1,15,,
unknown,RC-ASY-00105,RC-FAB-00532,"WASTE DISH HOLDER, FMM, RC2",1,,,PROTOLABS,RC-FAB-00532,1,$187.34,$187.34,1,1,3,,
unknown,RC-ASY-00105,RC-FAB-00576,"RUBBER BUMPER, WASTE DISH,  FMM, RC2",4,,,READCOOR,RC-FAB-00576,1,$0.01,$0.05,1,1,12,,
unknown,RC-ASY-00105,MCM 92015A207,"SETSCREW, HEX HEAD, M2x0.4,  2.5mm, 18-8 SS, CUP TIP",4,MCMASTER,92015A207,,,1,$0.25,$1.01,4,1,12,,
unknown,RC-ASY-00105,MIS MSCSS2-12,"DOWEL PIN, 2MM X 15MM,  CHAMFER AND RADIUS, 304 SS",4,MISUMI,MSCSS2-12,,,1,$1.75,$7.00,4,1,12,,
unknown,RC-ASY-00109,RC-FAB-00541,"BRACKET, SIPPER TUBE CALIBRATION, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00541,1,$209.24,$209.24,,1,3,,
unknown,RC-ASY-00109,Panasonic PM-R25,Panasonic PM-R25 Photointerruptor,1,DigiKey,1110-3888-ND,,,1,$11.00,$11.00,0,1,3,,
unknown,RC-ASY-00109,PANA PM-U25,"PHOTOINTERRUPTOR, U TOP MOUNT, WIRED",1,DIGIKEY,1110-3886-ND,,,1,$11.00,$11.00,0,1,3,,
unknown,RC-ASY-00109,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",3,MCMASTER,94500A222,,,1,$0.06,$0.19,100,1,9,,
unknown,RC-ASY-00111,RC-ASY-00112,V7.3 Z RISER MODULE ASM,1,,,,,1,,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00543,V7.3 CAM RETAINER,1,,,PROTOLABS,,1,134.78,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00578,V7.3 SIM BASEPLATE,1,,,PROTOLABS,,1,372.28,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00579,V7.3 Hinge Base,1,,,PROTOLABS,,1,440.71,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00580,V7.3 CAM PLATE,1,,,PROTOLABS,,1,512.1,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00583,V7.3 Hinge Catch,1,,,PROTOLABS,,1,363.31,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00585,V7.3 XY CAM PUSHER,1,,,PROTOLABS,,1,168.12,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00586,V7.3 BUTTON SIDE,1,,,PROTOLABS,,1,142.29,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00587,V7.3 Y CAM,1,,,PROTOLABS,,1,174.29,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00588,V7.3 X CAM,1,,,PROTOLABS,,1,178.83,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00589,V7.3 HINGE LATCH,1,,,PROTOLABS,,1,160.39,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00594,V7.3 HINGE LATCH BRACE,1,,,PROTOLABS,,1,150,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00599,V7.3 BUTTON CAP,2,,,RC,,1,,,,2,12,,
unknown,RC-ASY-00111,IGUS GFM-050709-05,"5mm ID, 7mm OD 5mm L Flanged G300 Bushing",2,IGUS,,,,1,0.75,,,2,12,,
unknown,RC-ASY-00111,IGUS GSM-0405-06,IGUS GSM-0405-06 SLEEVE BEARING,2,IGUS,GSM-0405-06,,,1,0.81,,,2,12,,
unknown,RC-ASY-00111,McMaster 1561T733,STACKED WAVE DISC SPRING,4,McMaster-Carr Supply Company,1561T733,,,1,5.04,,,2,24,,
unknown,RC-ASY-00111,McMaster 6725K331,LINEAR GUIDE RAIL,1,McMaster-Carr Supply Company,6725K331,,,1,24.6,,,2,6,,
unknown,RC-ASY-00111,McMaster 8438K200,CORROSION RESISTANT BALL BEARING CARRIAGE,1,McMaster-Carr Supply Company,8438K200,,,1,65.47,,,2,6,,
unknown,RC-ASY-00111,McMaster 84895A210,PRESS-FIT SS BODY SPRING PLUNGER W SS BALL,2,McMaster-Carr Supply Company,84895A210,,,1,3.92,,,2,12,,
unknown,RC-ASY-00111,McMaster 90269A119,SUPER-CORROSION-RST 316 SS SHOULDER SCREW,2,McMaster-Carr Supply Company,90269A119,,,1,6.45,,,2,12,,
unknown,RC-ASY-00111,McMaster 92290A745,,8,McMaster-Carr Supply Company,92290A745,,,1,7.23 pack of 25,,,2,48,,
unknown,RC-ASY-00111,McMaster 92290A761,TYPE 316 SS SOCKET HEAD CAP SCREW,7,McMaster-Carr Supply Company,92290A761,,,1,11.75 Pack of 50,,,2,42,,
unknown,RC-ASY-00111,McMaster 9271K579,MUSIC-WIRE STEEL TORSION SPRING,1,McMaster-Carr Supply Company,9271K579,,,1,6.76 pack of 6,,,2,6,,
unknown,RC-ASY-00111,McMaster 9271K647,MUSIC-WIRE STEEL TORSION SPRING,1,McMaster-Carr Supply Company,9271K647,,,1,6.76 pack of 6,,,2,6,,
unknown,RC-ASY-00111,McMaster 92927A522,SPRING STEEL SHIM FOR SCREW SHOULDERS,2,McMaster-Carr Supply Company,92927A522,,,1,6.86 pack of 5,,,2,12,,
unknown,RC-ASY-00111,McMaster 93395A141,TYPE 316 SS FLAT-HEAD SOCKET CAP SCREW,2,McMaster-Carr Supply Company,93395A141,,,1,4.71 pack of 10,,,2,12,,
unknown,RC-ASY-00111,McMaster 93395A144,TYPE 316 SS FLAT-HEAD SOCKET CAP SCREW,3,McMaster-Carr Supply Company,93395A144,,,1,4.66 pack of 10,,,2,18,,
unknown,RC-ASY-00111,McMaster 93395A198,"FHCS, M3x0.5, 6mm, 316 SS",1,McMaster Carr Supply Company,93395A198,,,1,7.59 pack of 50,,,2,6,,
unknown,RC-ASY-00111,McMaster 93395A209,TYPE 316 SS FLAT-HEAD SOCKET CAP SCREW,2,McMaster-Carr Supply Company,93395A209,,,1,9.76,,,2,12,,
unknown,RC-ASY-00111,McMaster 93448A102,LOW-CLEARANCE EXTERNAL RETAINING RING,2,McMaster-Carr Supply Company,93448A102,,,1,12.60 pack of 25,,,2,12,,
unknown,RC-ASY-00111,McMaster 93600A189,"316 SS DOWEL PIN, 2MM DIA, 6MM L",1,McMaster-Carr Supply Company,93600A189,,,1,6.35 pack of 25,,,2,6,,
unknown,RC-ASY-00111,McMaster 93600A200,"DOWEL PIN 2mm, 10mm, 316 SS",7,McMaster-Carr Supply Company,93600A200,,,1,6.55,,,2,42,,
unknown,RC-ASY-00111,McMaster 93600A208,"DOWEL PIN, 2mm X 12mm, 316 SS",1,McMaster-Carr Supply Company,93600A208,,,1,6.79,,,2,6,,
unknown,RC-ASY-00111,McMaster 93600A223,"316 SS DOWEL PIN, 2MM DIA, 14MM LNG; MCM 93600A223 OR EQUIV.",2,McMaster-Carr Supply Company,93600A223,,,1,7.02 pack of 25,,,2,12,,
unknown,RC-ASY-00111,McMaster 93600A281,"93600A281 DOWEL PIN, 4mm, 10mm, 316SS",1,McMaster-Carr Supply Company,93600A281,,,1,6.91,,,2,6,,
unknown,RC-ASY-00111,McMaster 93600A434,METRIC TYPE 316 STAINLESS STEEL DOWEL PIN,2,McMaster-Carr Supply Company,93600A434,,,1,4.83,,,2,12,,
unknown,RC-ASY-00111,McMaster 93600A437,METRIC TYPE 316 STAINLESS STEEL DOWEL PIN,2,McMaster-Carr Supply Company,93600A437,,,1,5.47,,,2,12,,
unknown,RC-ASY-00111,McMaster 93600A461,METRIC TYPE 316 STAINLESS STEEL DOWEL PIN,1,McMaster-Carr Supply Company,93600A461,,,1,6.17,,,2,6,,
unknown,RC-ASY-00111,McMaster 93600A531,316 STAINLESS STEEL DOWEL PIN,2,McMaster-Carr Supply Company,93600A531,,,1,7.85,,,2,12,,
unknown,RC-ASY-00111,McMaster 9654K941,STEEL EXTENSION SPRING,2,McMaster-Carr Supply Company,9654K941,,,1,8.35,,,2,12,,
unknown,RC-ASY-00111,McMaster 9714K230,WAVE DISC SPRING,2,McMaster-Carr Supply Company,9714K230,,,1,11.07 pack of 25,,,2,12,,
unknown,RC-ASY-00111,McMaster 92290A013,"SHCS, 316 SS, M2X.4, 6MM",3,McMaster-Carr Supply Company,92290A013,,,1,7.73 pack of 25,,,2,18,,
unknown,RC-ASY-00111,McMaster 92605A528,"FPSS, M4X0.7, 10MM, 316SS",3,McMaster-Carr Supply Company,92605A528,,,1,11.02 pack of 50,,,2,18,,
unknown,RC-ASY-00111,McMaster 93600A370,METRIC TYPE 316 STAINLESS STEEL DOWEL PIN,1,McMaster-Carr Supply Company,93600A370,,,1,8.80 Pack of 25,,,2,6,,
unknown,RC-ASY-00111,Misumi PSSFJT4-22-M2,"LINEAR PULL OUT SHAFT, 440C SS, 4MM DIA, 30MM, M2",4,Misumi,PSSFJT4-22-M2,,,1,7.66,,,2,24,,
unknown,RC-ASY-00112,RC-FAB-0109,V7.3 Z RISER,1,,,PROTOLABS,,1,364.2,364.2,requires ~20 minute postmachine if from protolabs,2,6,,
unknown,RC-ASY-00112,RC-FAB-0197,V7.3 TEC HAT,1,,,PROTOLABS,,1,186.18,186.18,,2,6,,
unknown,RC-ASY-00112,IDEX P-321,"FITTING PLUG, 1/4-28, PEEK",1,IDEX-HS,P-321,,,1,,,,2,6,,
unknown,RC-ASY-00112,McMaster 92290A019,"SHCS, 316 SS, M2X.4, 12MM",4,McMaster-Carr Supply Company,92290A019,,,1,,,,2,24,,
unknown,RC-ASY-00112,McMaster 52065K493,"RIGHT ANGLE PUSH TO CONNECT FITTING, 4MM, M6",2,McMaster-Carr Supply Company,52065K493,,,1,,,,2,12,,
unknown,RC-ASY-00112,McMaster 61205K720,61205K720_FIXED ALIGNMENT LINEAR BALL BRNG,4,McMaster-Carr Supply Company,61205K720,,,1,,,,2,24,,
unknown,RC-ASY-00112,Vishay VCNL4010,VISHAY SMT PROX SENSOR,1,DigiKey,VCNL4010-GS08TR-ND,Vishay Semi.,,1,,,,2,6,,
unknown,RC-ASY-00121,MCM 91292A015,"SHCS, M2.5X0.45, 4MM, 18-8SS",12,MCMASTER,91292A015,,,1,$0.25,$2.96,,1,36,,
unknown,RC-ASY-00122,MCM 92290A111,"SHCS, M3X0.5, 6MM, 316 SS",16,MCMASTER,92290A111,,,1,$0.21,$3.41,,1,48,,
unknown,RC-ASY-00127,RC-FAB-00599,BULK REAGENT RFID BASE,1,,,,,1,,,,4,12,,
unknown,RC-ASY-00127,RC-FAB-00602,BULK REAGENT RFID TOP,1,,,,,1,,,,4,12,,
unknown,RC-ASY-00127,RC-FAB-00603,BULK REAGENT PIVOT BASE,4,,,,,1,,,,4,48,,
unknown,RC-ASY-00127,RC-FAB-00604,BULK REAGENT PIVOT ARM,4,,,,,1,,,,4,48,,
unknown,RC-ASY-00127,ELATEC TWN4 MULTITECH 3,"TWN4 MULTITECH 3, OEM RFID READER/WRITER FOR LF, HF, NFC",4,ELATEC,ELATECH TWN4 MULTITECH 3,ELATEC,TWN4 MULTITECH 3,1,,,,4,48,,
unknown,RC-ASY-00127,McMaster 9271K390,LH MUSIC WIRE STEEL TORSION SPRING,4,,9271K390,,,1,5.81 pack of 6,,,4,48,,
unknown,RC-ASY-00127,McMaster 9271K380,RH MUSIC WIRE STEEL TORSION SPRING,4,McMaster-Carr Supply Company,9271K380,,,1,5.81 pack of 6,,,4,48,,
unknown,RC-ASY-00127,McMaster 92981A030,ALLOY STEEL SHOULDER SCREW,8,McMaster-Carr Supply Company,92981A030,,,1,2.24,,,4,96,,
unknown,RC-ASY-00127,McMaster 92290A113,"SHCS, M3X0.5, 8mm, 316SS",8,McMaster-Carr Supply Company,92290A113,,,1,10.87 pack of 50,,,4,96,,
unknown,RC-ASY-00127,McMaster 92398A121,18-8 SS TWIST-RESISTANT HEX-SHAPED INSERTS,16,McMaster-Carr Supply Company,92398A121,,,1,9.34 pack of 25,,,4,192,,
unknown,RC-ASY-00127,McMaster 92290A761,TYPE 316 SS SOCKET HEAD CAP SCREW,7,McMaster-Carr Supply Company,92290A761,,,1,11.75 Pack of 50,,,4,84,,
unknown,RC-ASY-00127,M4L ND020,".375"" dia .1"" thk N42 NdFeB Magnet",4,Magnet4Less,ND020,,,1,0.28,,,4,48,,
